Topic Id,Top Words...
0,man jack men king great made day hand sir night set found sword blood good long fell head side stood
1,fo faid fee 1 thefe fuch time fome fhe fay great houfe fame man fays good laid fhall firft day
2,king george great made court man time st ing city ed day put country lady told money queen life gave
3,air murder na mo mi ion robbery le june theft oct 3 nov gu gun ann 8 housebreaking dh tha
4,men king scotland great army wallace sir country english battle enemy england edward bruce french robert general time john scots
5,1 ft ii ot 4 id ti ir er wa fi lie ar ia cf 11 ne wi ha il
6,time man 1 father house made life found ing mother mind ed day till young heart family place con good
7,ye wi ll nae man er john hae good auld day mither wad na twa wife ay sae ill weel
8,thou thy thee lord wife good god 1 art ye make hall quoth poor day die heaven made heart death
9,er wi ye ll love heart sae sweet bonny thee dear thy day thou 1 highland frae lassie bonnie fair
10,dream good great de denotes love day water man person make woman put children life marriage long mole fortune shows
11,tom man wife 1 good dear ll poor home made day money bed back master night woman told put mother
12,mr time man day john house money 1 great night lord people told good sir years scotland men made place
13,god lord 1 chrift ye world hath christ death 2 word man covenant faith holy things heaven grace men glory
14,love ll dear er 1 young heart man fair lady father true day life thee wife maid sir ne make
